,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
31,shot,fc4994ff-acae-4088-9569-7a8d3e13fd83,1826,2,00:35:52.056,80,52,199,Birmingham City WFC,From Throw In,False,Birmingham City WFC,Marisa Ewers,Right Defensive Midfield,1.902588,,0.023876486,7fd4af90-8dc9-43d9-bbb7-0fdf42d04e4d,Right Foot,Open Play,Off T,Normal,,,,,,,99.0,59.0,120.0,42.0,4.2
32,shot,a029e034-626d-4495-a91b-a5be7342bbe6,1897,2,00:39:05.929,84,5,207,Birmingham City WFC,From Free Kick,False,Birmingham City WFC,Emma Follis,Center Forward,0.747768,,0.32222176,618dfa56-c4e6-40f0-9305-06983788cdf9,Left Foot,Open Play,Post,Half Volley,,,,True,,,112.0,35.0,120.0,40.0,2.7
33,shot,afe4c96a-b549-4136-b2f4-54dccfac24ed,2062,2,00:51:43.640,96,43,229,Reading WFC,From Free Kick,False,Reading WFC,Fara Tanya Franki Williams Merrett,Left Center Midfield,1.168587,,0.062222365,,Right Foot,Free Kick,Saved,Normal,,,,,,,100.0,54.0,118.0,38.0,1.0
0,shot,51616bc9-aad8-46a5-aef9-e8ce00aff8d4,137,1,00:04:22.383,4,22,11,Reading WFC,Regular Play,False,Reading WFC,Fara Tanya Franki Williams Merrett,Right Center Midfield,0.966392,,0.030992065,,Left Foot,Open Play,Saved,Normal,,,,,,,103.0,24.0,119.0,36.4,0.7
1,shot,f3f783a2-eb45-4357-8c70-2eace872b58a,272,1,00:10:41.485,10,41,28,West Ham United LFC,From Free Kick,False,West Ham United LFC,Alisha Lehmann,Left Center Forward,0.902447,,0.06859182,b89e172b-6aab-49e8-a15c-f9693608b71a,Right Foot,Open Play,Post,Normal,,,,,,,109.0,53.0,120.0,44.0,1.5
2,shot,d87b323f-bea3-4c6c-904c-22f6a153689f,301,1,00:12:13.267,12,13,32,Reading WFC,Regular Play,False,Reading WFC,Gemma Suzanne Davison,Right Center Forward,0.1977,,0.0567462,5aca07da-0fda-43e9-9d66-238cc38646e1,Left Foot,Open Play,Blocked,Normal,,,,,,,104.0,40.0,106.0,38.0,
3,shot,98e4adc2-51d0-4466-9410-c52fced8f2cb,321,1,00:12:38.755,12,38,33,West Ham United LFC,From Counter,False,West Ham United LFC,Brianna Visalli,Right Defensive Midfield,2.231646,,0.023631273,675902a5-159a-4101-8b46-48723a14ad28,Right Foot,Open Play,Off T,Normal,,,,,,,98.0,53.0,120.0,39.6,3.4
4,shot,8a030229-3ff7-4bf9-8f1a-3d21979e0ba6,386,1,00:15:35.719,15,35,42,West Ham United LFC,From Free Kick,False,West Ham United LFC,Brianna Visalli,Right Defensive Midfield,0.1745,,0.036659822,,Right Foot,Open Play,Blocked,Normal,,,,,,,104.0,29.0,106.0,30.0,
5,shot,85fb83dc-3bc4-4dd5-89ae-5a1ee0f1db11,409,1,00:16:34.534,16,34,43,West Ham United LFC,From Throw In,False,West Ham United LFC,Brianna Visalli,Right Defensive Midfield,1.224548,,0.23096807,000595ed-ed4c-4e00-b076-9bd172bca930,Right Foot,Open Play,Off T,Normal,,,,,,,110.0,52.0,120.0,45.3,1.3
6,shot,241cd18c-c59d-4756-b361-6b8a6ca90780,485,1,00:22:12.259,22,12,53,Reading WFC,Regular Play,False,Reading WFC,Brooke Chaplen,Left Center Forward,0.2712,,0.22415227,92c6a591-60c8-4ef6-b67f-5bc99f704c08,Left Foot,Open Play,Saved,Normal,,,,,,,108.0,28.0,112.0,37.6,0.7
