,duration,distance,build_up_duration,shot_technique_3,shot_open_goal,pass_height_name,pass_cut_back,shot_technique_4,pass_through_ball,shot_technique_2,follows_goalkeeper,follows_dribble,pass_cross,goal
94,0.483632,29.732137494637012,15.892254,0,0,-1,0,1,0,0,0,0,0,0
95,1.473663,24.698178070456933,3.8206,0,0,-1,0,1,0,0,0,0,0,0
96,1.1092799999999998,25.0,1.502355,0,0,-1,0,1,0,0,0,0,0,0
97,0.928854,21.587033144922906,3.2411000000000003,0,0,-1,0,1,0,0,0,0,0,0
98,0.773,17.88854381999832,13.412,0,0,-1,0,1,0,0,0,0,0,0
99,0.41,20.808652046684813,14.668999999999995,0,0,-1,0,1,0,0,0,0,0,0
100,0.115,17.464249196572982,22.305,0,0,-1,0,1,0,0,0,0,0,0
101,0.406,2.8284271247461903,1.929,0,1,-1,0,1,0,0,0,0,0,0
102,1.722304,23.853720883753127,0.0,0,0,-1,0,1,0,0,0,0,0,0
103,1.3191,30.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
104,1.902401,26.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
105,0.99,14.7648230602334,4.665,0,0,-1,0,0,0,1,0,0,0,0
106,0.84,11.401754250991381,8.079,0,0,-1,0,1,0,0,0,0,0,0
107,1.56,25.0,1.907,0,0,-1,0,0,0,1,0,0,0,0
108,1.28,11.704699910719626,1.712,0,0,-1,0,1,0,0,0,0,0,0
109,0.1588,7.0,11.086192999999998,0,0,-1,0,1,0,0,0,0,0,0
110,1.046184,25.612496949731394,2.3223439999999997,0,0,-1,0,1,0,0,0,0,0,0
111,0.6129,15.297058540778355,0.0,0,0,-1,0,1,0,0,0,0,0,0
112,0.1589,14.560219778561034,8.430966999999999,0,0,-1,0,1,0,0,0,0,0,0
113,0.8959860000000001,18.60107523773827,28.291915000000003,0,0,-1,0,1,0,0,0,0,0,0
114,0.98979,27.202941017470888,1.9118430000000004,0,0,-1,0,1,0,0,0,0,0,0
115,0.398,21.95449840010015,4.654,0,0,-1,0,1,0,0,0,0,0,0
116,0.9719,15.033296378372908,21.870179,0,0,-1,0,1,0,0,0,0,0,0
117,1.253672,34.0,22.546299999999995,0,0,-1,0,1,0,0,0,0,0,0
118,1.311,33.61547262794322,0.0,0,0,-1,0,1,0,0,0,0,0,0
119,0.6923,14.866068747318506,10.558600999999998,0,0,-1,0,1,0,0,0,0,0,0
120,1.102302,16.278820596099706,1.8979,0,0,-1,0,1,0,0,0,0,0,0
121,0.945886,27.202941017470888,26.30623,0,0,-1,0,1,0,0,0,0,0,0
122,0.5195810000000001,29.017236257093817,5.78275,0,0,-1,0,1,0,0,0,0,0,0
123,1.667098,34.058772731852805,0.0,0,0,-1,0,1,0,0,0,0,0,0
124,1.106166,23.706539182259394,8.564825,0,0,-1,0,1,0,0,0,0,0,0
125,0.782846,17.204650534085253,1.4131,0,0,-1,0,1,0,0,0,0,0,0
126,0.842743,20.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
127,0.6509,22.203603311174522,0.0,0,0,-1,0,0,0,1,0,0,0,0
128,0.2,5.656854249492381,9.6,0,0,-1,0,1,0,0,0,0,0,0
129,0.2,17.029386365926403,9.6,0,0,-1,0,0,0,0,0,0,0,0
130,0.238,26.1725046566048,13.22,0,0,-1,0,1,0,0,0,0,0,0
131,1.347028,24.839484696748446,7.073400000000001,0,0,-1,0,1,0,0,0,0,0,0
132,1.089749,12.649110640673518,1.894397,0,0,-1,0,0,0,1,0,0,0,1
133,1.1269,11.31370849898476,2.137566,0,0,-1,0,1,0,0,0,0,0,0
134,1.72,18.384776310850235,1.547,0,0,-1,0,1,0,0,0,0,0,0
135,0.76,29.0,12.026,0,0,-1,0,1,0,0,0,0,0,0
136,0.313832,16.643316977093242,7.526357000000001,0,0,-1,0,0,0,1,0,0,0,0
137,0.5462,38.275318418009284,11.6694,0,0,-1,0,1,0,0,0,0,0,0
138,1.857584,32.280024783137954,11.039788,0,0,-1,0,1,0,0,0,0,0,0
139,0.284,3.0,20.939,0,0,-1,0,0,0,1,0,0,0,0
140,2.553974,22.02271554554524,9.635852,0,0,-1,0,1,0,0,0,1,0,0
141,1.5281,35.902646142032474,7.769249,0,0,-1,0,1,0,0,0,0,0,0
142,0.813,23.08679276123039,0.0,0,0,-1,0,1,0,0,0,0,0,0
143,1.5730000000000002,13.45362404707371,1.733,0,0,-1,0,0,0,0,0,0,0,0
144,0.92,18.0,5.746,0,0,-1,0,0,0,0,0,0,0,0
145,1.383,27.784887978899608,11.334000000000005,0,0,-1,0,1,0,0,0,0,0,0
146,2.184,26.570660511172854,3.877,0,0,-1,0,1,0,0,0,0,0,0
147,0.63,25.495097567963924,3.841,0,0,-1,0,1,0,0,0,0,0,0
148,1.1865,29.966648127543394,27.719031,0,0,-1,0,1,0,0,0,0,0,0
149,0.6565880000000001,19.209372712298546,0.0,0,0,-1,0,1,0,0,0,0,0,0
150,0.9596,15.132745950421555,8.313165999999999,0,0,-1,0,1,0,0,0,0,0,0
151,1.3985,31.048349392520052,7.976470999999997,0,0,-1,0,1,0,0,0,0,0,0
152,0.2238,12.16552506059644,33.468928000000005,0,0,-1,0,1,0,0,0,0,0,0
153,0.954,20.0,32.738728,0,0,-1,0,1,0,0,0,0,0,0
154,0.350844,7.211102550927977,0.4112,0,0,-1,0,1,0,0,0,0,0,1
155,0.9788,27.202941017470888,0.0,0,0,-1,0,1,0,0,0,0,0,0
156,1.869924,19.798989873223327,8.288200999999999,0,0,-1,0,1,0,0,0,0,0,0
157,0.356374,8.602325267042627,9.801751,0,0,-1,0,1,0,0,0,0,0,0
158,1.9322,29.068883707497267,10.065755,0,0,-1,0,1,0,0,0,0,0,0
159,1.78158,34.17601498127012,0.0,0,0,-1,0,1,0,0,1,0,0,0
160,0.909706,19.416487838947603,5.4648,0,0,-1,0,1,0,0,0,0,0,0
161,0.2173,25.495097567963924,5.567508,0,0,-1,0,1,0,0,0,0,0,0
162,1.41517,11.401754250991381,23.782048000000003,0,0,-1,0,1,0,0,0,0,0,0
163,1.4801,36.345563690772494,0.0,0,0,-1,0,1,0,0,0,0,0,0
164,1.0737,29.12043955712207,11.215799,0,0,-1,0,1,0,0,0,0,0,0
165,0.913,5.830951894845301,3.72,0,0,-1,0,0,0,0,0,0,0,0
166,0.69,29.427877939124322,1.5419999999999998,0,0,-1,0,1,0,0,0,0,0,0
167,0.7759999999999999,28.46049894151541,9.831,0,0,-1,0,1,0,0,0,0,0,0
168,1.574,24.020824298928627,1.98,0,0,-1,0,0,0,0,0,0,0,0
169,1.7018,21.095023109728988,0.0,0,0,-1,0,0,0,0,0,0,0,0
170,1.569481,26.0,1.826,0,0,-1,0,0,0,0,0,0,0,0
171,1.580849,13.0,2.1651,0,0,-1,0,0,0,1,0,0,0,0
172,0.13699999999999998,21.40093455903269,3.01,0,0,-1,0,1,0,0,0,0,0,0
173,0.760247,5.385164807134505,0.0,0,1,-1,0,0,0,1,0,0,0,1
174,0.134762,10.0,12.436595,0,0,-1,0,1,0,0,0,0,0,0
175,1.213,12.206555615733702,12.238,0,0,-1,0,1,0,0,0,0,0,0
176,0.493,4.123105625617661,12.957999999999998,0,0,-1,0,0,0,0,0,0,0,0
177,1.547516,28.63564212655271,3.4999800000000003,0,0,-1,0,1,0,0,0,0,0,0
178,0.0602,29.410882339705488,23.176642,0,0,-1,0,1,0,0,0,0,0,0
179,2.125042,33.376638536557266,21.1118,0,0,-1,0,0,0,0,0,0,0,0
180,0.768079,17.029386365926403,0.0,0,0,-1,0,1,0,0,0,0,0,0
181,1.6869999999999998,36.496575181789325,3.2560000000000002,0,0,-1,0,1,0,0,0,0,0,0
182,0.4205,27.202941017470888,0.0,0,0,-1,0,1,0,0,0,0,0,0
183,1.8266,31.57530680769389,12.399058,0,0,-1,0,1,0,0,0,0,0,0
184,0.691157,17.464249196572982,0.0,0,0,-1,0,1,0,0,0,0,0,0
185,0.1225,7.810249675906653,10.990793999999998,0,0,-1,0,1,0,0,0,0,0,0
186,1.686203,23.259406699226016,14.683023000000002,0,0,-1,0,0,0,1,0,0,0,0
187,2.533,34.132096331752024,0.0,0,0,-1,0,1,0,0,0,0,0,0
188,1.3531,21.213203435596427,3.995917,0,0,-1,0,0,0,1,0,0,0,0
189,1.1651,19.104973174542803,0.0,0,0,-1,0,1,0,0,0,1,0,0
190,1.4577,30.67572330035593,2.5894000000000004,0,0,-1,0,1,0,0,0,0,0,1
191,1.0596,22.36067977499789,0.0,0,0,-1,0,1,0,0,0,0,0,0
192,0.539,19.416487838947603,20.093,0,0,-1,0,1,0,0,0,0,0,0
193,0.35700000000000004,25.0,31.219,0,0,-1,0,1,0,0,0,0,0,0
194,1.457,34.132096331752024,0.0,0,0,-1,0,1,0,0,1,0,0,0
195,0.2936,35.05709628591621,14.172999999999998,0,0,-1,0,1,0,0,0,1,0,0
196,1.7355,36.68787265568828,0.0,0,0,-1,0,1,0,0,0,0,0,0
197,1.182701,20.8806130178211,5.880087999999999,0,0,-1,0,0,0,1,0,0,0,0
198,0.8484,15.811388300841895,100.44041899999999,0,0,-1,0,1,0,0,0,0,0,0
199,0.1681,8.06225774829855,1.284,0,0,-1,0,1,0,0,0,0,0,0
200,1.402,30.08321791298265,8.267999999999999,0,0,-1,0,1,0,0,0,0,0,0
201,0.236,30.413812651491103,12.438999999999998,0,0,-1,0,1,0,0,0,0,0,0
202,0.6795,15.033296378372908,20.340861,0,0,-1,0,1,0,0,0,0,0,1
203,1.497139,21.095023109728988,16.354588,0,0,-1,0,0,0,1,0,0,0,0
204,1.610793,10.77032961426901,5.0862,0,0,-1,0,1,0,0,0,0,0,0
205,0.2598,38.91015291668744,3.9887,0,0,-1,0,1,0,0,0,0,0,0
206,0.1029,29.154759474226502,1.4427,0,0,-1,0,1,0,0,0,0,0,0
207,0.479455,17.11724276862369,15.468419,0,0,-1,0,1,0,0,0,0,0,0
208,2.1577900000000003,42.0,0.0,0,0,-1,0,1,0,0,0,0,0,1
209,3.330163,33.0,3.2851,0,0,-1,0,1,0,0,0,0,0,0
210,0.659,13.92838827718412,2.306,0,0,-1,0,0,0,1,0,0,0,0
211,0.443,3.0,3.5739999999999994,0,1,-1,0,0,0,0,0,0,0,1
212,0.1673,19.6468827043885,1.7301,0,0,-1,0,0,0,0,0,0,0,0
213,1.193506,29.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
214,0.839586,27.513632984395212,2.528074,0,0,-1,0,1,0,0,0,0,0,0
215,0.2196,20.8806130178211,5.647267,0,0,-1,0,1,0,0,0,0,0,0
216,1.994593,30.463092423455638,3.872274,0,0,-1,0,1,0,0,0,0,0,0
217,2.088197,19.02629759044045,4.1095,0,0,-1,0,1,0,0,0,0,0,0
218,0.293,18.439088914585774,0.0,0,0,-1,0,1,0,0,0,0,0,0
219,2.32,23.3452350598575,15.425,0,0,-1,0,0,0,0,0,0,0,0
220,0.0645,14.142135623730953,4.672198000000001,0,0,-1,0,1,0,0,0,0,0,0
221,1.6391,30.265491900843116,0.0,0,0,-1,0,1,0,0,0,0,0,0
222,1.0969,15.0,0.0,0,0,-1,0,1,0,0,0,0,0,1
223,1.892,34.132096331752024,0.0,0,0,-1,0,1,0,0,0,0,0,0
224,0.3261,22.803508501982762,5.5558809999999985,0,0,-1,0,1,0,0,0,0,0,0
225,2.257727,26.627053911388696,0.0,0,0,-1,0,1,0,0,0,0,0,0
226,1.016,10.04987562112089,5.562,0,0,-1,0,1,0,0,0,0,0,0
227,1.252,27.202941017470888,12.572000000000001,0,0,-1,0,1,0,0,0,0,0,0
228,0.8393940000000001,21.587033144922906,3.4226000000000005,0,0,-1,0,0,0,1,0,0,0,0
229,0.1023,10.198039027185569,3.0298,0,0,-1,0,1,0,0,0,0,0,0
230,1.031432,25.0,15.364293000000002,0,0,-1,0,1,0,0,0,0,0,0
231,2.1328,16.278820596099706,27.809015,1,0,-1,0,0,0,0,0,0,0,0
232,0.752,16.031219541881402,0.0,0,0,-1,0,1,0,0,0,0,0,0
233,0.36,17.11724276862369,48.88600000000002,0,0,-1,0,1,0,0,0,0,0,0
234,0.0722,2.23606797749979,3.0768009999999997,0,1,-1,0,1,0,0,0,0,0,0
235,1.17521,10.816653826391967,5.216889,0,0,-1,0,1,0,0,0,0,0,0
236,0.14,17.204650534085253,5.682000000000001,0,0,-1,0,0,0,1,0,0,0,0
237,0.696,16.76305461424021,5.126000000000001,0,0,-1,0,1,0,0,0,0,0,0
238,0.886301,12.041594578792296,10.127585000000002,0,0,-1,0,0,0,0,0,0,0,0
239,0.861059,39.204591567825325,6.700162,0,0,-1,0,1,0,0,0,0,0,0
240,0.0826,17.804493814764854,0.0,0,0,-1,0,1,0,0,0,1,0,0
241,1.739,26.0,1.96,0,0,-1,0,1,0,0,0,0,0,0
242,2.0,35.73513677041127,0.0,0,0,-1,0,1,0,0,0,0,0,0
243,1.411,25.179356624028344,10.261,0,0,-1,0,1,0,0,0,0,0,0
244,1.36916,26.925824035672523,0.0,0,0,-1,0,1,0,0,0,0,0,0
245,1.8088,21.840329667841555,30.146066000000005,0,0,-1,0,0,0,1,0,0,0,0
246,1.806416,31.89043743820395,0.0,0,0,-1,0,1,0,0,0,0,0,0
247,2.033,30.01666203960727,2.349,0,0,-1,0,1,0,0,0,0,0,0
248,0.5462,4.123105625617661,10.286396,0,1,-1,0,1,0,0,0,0,0,1
249,1.317598,36.069377593742864,1.4633,0,0,-1,0,1,0,0,0,0,0,0
250,1.1981,29.546573405388315,7.397399999999998,0,0,-1,0,1,0,0,0,0,0,0
251,1.311456,29.017236257093817,0.0,0,0,-1,0,1,0,0,0,1,0,0
252,0.2723,19.798989873223327,13.724495,0,0,-1,0,0,0,1,0,0,0,0
253,1.492812,15.811388300841895,9.941136,0,0,-1,0,1,0,0,0,0,0,0
254,1.674145,23.53720459187964,0.0,0,0,-1,0,1,0,0,0,0,0,1
255,0.0305,16.76305461424021,5.0165,0,0,-1,0,0,0,1,0,0,0,0
256,1.117866,29.681644159311663,0.0,0,0,-1,0,1,0,0,0,0,0,0
257,0.42,17.720045146669353,10.369000000000002,0,0,-1,0,0,0,1,0,0,0,0
258,0.14800000000000002,16.55294535724685,10.640999999999998,0,0,-1,0,1,0,0,0,0,0,0
259,0.3116,13.601470508735444,2.1803,0,0,-1,0,0,0,0,0,0,0,0
260,0.2026,14.0,9.474111,0,0,-1,0,1,0,0,0,0,0,0
261,0.24,25.05992817228333,3.253,0,0,-1,0,1,0,0,0,1,0,0
262,0.523988,10.77032961426901,39.940127000000004,0,0,-1,0,1,0,0,0,0,0,0
263,0.606196,24.698178070456933,39.857919,0,0,-1,0,1,0,0,0,0,0,0
264,1.88,30.36445290137795,5.166,0,0,-1,0,1,0,0,0,0,0,0
265,1.810487,10.295630140987,38.504094,0,0,-1,0,1,0,0,0,0,0,0
266,0.598251,22.02271554554524,0.0,0,0,-1,0,1,0,0,0,0,0,0
267,1.452,26.019223662515373,0.8970000000000002,0,0,-1,0,1,0,0,0,0,0,0
268,0.897,7.0,1.4520000000000002,0,0,-1,0,0,0,0,0,0,0,0
269,2.686358,29.154759474226502,1.1858799999999998,0,0,-1,0,1,0,0,0,0,0,0
270,1.0377,32.526911934581186,0.0,0,0,-1,0,1,0,0,0,0,0,0
271,2.019694,24.698178070456933,2.8526,0,0,-1,0,1,0,0,0,0,0,0
272,2.052034,24.020824298928627,10.971304,0,0,-1,0,0,0,0,0,0,0,0
273,1.103026,19.798989873223327,7.290336999999999,0,0,-1,0,1,0,0,0,0,0,0
274,0.327703,5.0,11.703087999999996,0,0,-1,0,0,0,0,0,0,0,0
275,0.8787,17.691806012954128,17.64066,0,0,-1,0,1,0,0,0,0,0,0
276,1.951,21.18962010041709,16.616,0,0,-1,0,1,0,0,0,0,0,0
277,0.612,26.248809496813372,2.698,0,0,-1,0,1,0,0,0,0,0,0
278,1.899,14.212670403551895,1.411,0,0,-1,0,1,0,0,0,0,0,0
279,0.799,12.806248474865697,2.511,0,0,-1,0,0,0,0,1,0,0,1
280,1.1576,27.018512172212592,1.9997000000000005,0,0,-1,0,0,0,1,0,0,0,0
281,0.1802,13.601470508735444,2.3743,0,0,-1,0,1,0,0,0,0,0,0
282,0.997182,21.40093455903269,0.0,0,0,-1,0,1,0,0,0,0,0,0
283,1.067575,9.219544457292887,2.3834670000000004,0,0,-1,0,1,0,0,0,0,0,0
284,1.3124,27.166155414412252,3.8198,0,0,-1,0,1,0,0,0,0,0,0
285,0.633,10.816653826391967,3.4574479999999994,0,0,-1,0,0,0,0,0,0,0,0
286,1.098391,31.06444913401813,30.289503999999997,0,0,-1,0,1,0,0,0,1,0,0
287,1.068902,21.095023109728988,5.33671,0,0,-1,0,1,0,0,0,0,0,0
288,0.2237,14.142135623730953,0.0,0,0,-1,0,1,0,0,0,0,0,0
289,1.414,25.079872407968914,0.0,0,0,-1,0,1,0,0,0,0,0,0
290,2.24,31.38470965295043,26.223000000000003,0,0,-1,0,0,0,1,0,0,0,0
291,1.013,31.144823004794873,0.0,0,0,-1,0,1,0,0,0,0,0,0
292,0.230673,15.811388300841895,6.105,0,0,-1,0,1,0,0,0,0,0,0
293,2.037504,23.853720883753127,5.975377,0,0,-1,0,1,0,0,0,0,0,0
294,0.1139,14.422205101855955,4.2637,0,0,-1,0,0,0,1,0,0,0,0
295,0.88,19.0,10.159,0,0,-1,0,0,0,0,0,0,0,0
296,0.4,25.05992817228333,11.287,0,0,-1,0,1,0,0,0,0,0,0
297,0.7067,11.704699910719626,3.357364,0,0,-1,0,1,0,0,0,0,0,0
298,0.4225,28.0178514522438,15.858543,0,0,-1,0,1,0,0,0,0,0,0
299,1.0624,19.104973174542803,15.218643,0,0,-1,0,1,0,0,0,0,0,0
300,0.8340000000000001,32.202484376209235,1.7399999999999998,0,0,-1,0,1,0,0,0,0,0,0
301,1.396101,32.0,14.135437,0,0,-1,0,1,0,0,0,0,0,1
302,1.639513,36.6742416417845,0.0,0,0,-1,0,1,0,0,0,1,0,0
303,1.798148,28.46049894151541,0.0,0,0,-1,0,1,0,0,0,0,0,1
304,0.554463,19.697715603592208,19.445329,0,0,-1,0,0,0,1,0,0,0,0
305,0.5962149999999999,26.925824035672523,10.830436,0,0,-1,0,1,0,0,0,0,0,0
306,0.3254,14.422205101855955,42.809303,0,0,-1,0,0,0,1,0,0,0,0
307,1.409721,36.0,0.0,0,0,-1,0,1,0,0,0,0,0,0
308,0.0875,15.264337522473747,3.9939780000000007,0,0,-1,0,1,0,0,0,1,0,0
309,1.4034,28.653097563788805,9.034913000000001,0,0,-1,0,1,0,0,0,1,0,0
310,0.998023,18.027756377319946,9.44029,0,0,-1,0,1,0,0,0,0,0,0
311,1.34889,37.21558813185679,0.0,0,0,-1,0,1,0,0,0,0,0,0
312,1.297457,31.320919526731647,9.757674000000002,0,0,-1,0,1,0,0,0,0,0,0
313,1.88,28.284271247461906,0.0,0,0,-1,0,1,0,0,0,0,0,0
314,1.236,29.732137494637012,0.0,0,0,-1,0,1,0,0,0,0,0,0
315,1.471,28.844410203711917,0.0,0,0,-1,0,1,0,0,0,0,0,0
316,1.603223,20.518284528683196,0.0,0,0,-1,0,1,0,0,0,0,0,0
317,1.392757,25.612496949731394,0.0,0,0,-1,0,1,0,0,0,1,0,0
318,1.051483,26.019223662515373,3.5077,0,0,-1,0,1,0,0,0,0,0,0
319,0.2,15.0,3.76,0,0,-1,0,1,0,0,0,0,0,0
