duration,follows_50/50,follows_ball_recovery,follows_block,follows_clearance,follows_dispossessed,follows_dribble,follows_duel,follows_error,follows_goalkeeper,follows_interception,follows_miscontrol,follows_pass,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.605433,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Volley,0,0,14.142135623730951,0.7853981633974483,7.45401,0,40.0,0,13.892443989449804,True,True,False
1.643747,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,43.08131845707603,0.3805063771123649,11.084426999999998,0,160.0,2,14.035668847618199,True,True,False
1.0816430000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,foot,1,0,0,Normal,0,0,23.08679276123039,0.08673833867598511,27.346985,0,92.0,0,7.211102550927978,True,True,False
1.1306,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,29.966648127543394,1.1220729827841756,4.8999,1,52.0,1,18.681541692269406,True,True,False
2.489097,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,29.732137494637012,0.3430239404207034,0.0,1,112.0,0,4.123105625617661,True,True,False
0.1427,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,10.295630140987,0.507098504392337,3.184441,0,36.0,1,2.8284271247461903,True,True,False
1.093,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,foot,0,0,0,Normal,0,0,21.0,0.0,8.56,0,84.0,1,3.1622776601683795,True,True,False
1.755,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,14.7648230602334,0.4939413689195812,0.0,0,52.0,0,7.0,True,True,False
0.5329999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,25.298221281347036,0.3217505543966422,10.132,0,96.0,1,2.23606797749979,True,True,False
1.8702279999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,27.892651361962706,0.2536740961386427,0.0,1,108.0,0,6.324555320336759,True,True,False
0.35662699999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,25.079872407968907,0.07982998571223732,0.0,1,100.0,0,3.1622776601683795,True,True,False
1.886754,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,32.2490309931942,0.5191461142465229,1.312762,0,112.0,1,6.4031242374328485,True,True,False
1.703998,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,40.049968789001575,0.049958395721942765,0.0,1,160.0,1,6.082762530298219,True,True,False
0.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,23.706539182259394,0.4825132950224769,5.561999999999999,0,84.0,1,9.899494936611665,True,True,False
1.617,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,1,12.206555615733702,0.6107259643892086,13.312999999999999,0,40.0,1,5.0,True,True,False
0.5739,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,1,0,13.601470508735444,0.2984989315861793,11.7538,0,52.0,1,10.816653826391969,True,True,False
1.3846,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,34.713109915419565,0.2030452172534651,0.0,0,136.0,1,8.48528137423857,True,True,False
1.582967,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,37.05401462729781,0.05400150037596829,3.0971200000000003,0,148.0,2,9.486832980505138,True,True,False
0.495,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,22.847319317591726,0.4048917862850834,1.2389999999999999,1,84.0,1,2.8284271247461903,True,True,False
2.213736,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,0,0,38.27531841800928,0.34653886443394183,13.361324,0,144.0,1,9.055385138137417,True,True,False
2.0951169999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Volley,0,0,21.095023109728988,0.09495170634275632,2.3209020000000007,0,84.0,0,11.40175425099138,True,True,False
0.7913,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,1,0,24.839484696748443,0.6998928697192437,19.714233,0,76.0,1,8.602325267042627,True,True,False
0.0044,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,head,0,0,0,Normal,0,0,7.280109889280518,0.27829965900511133,3.241523,1,28.0,0,6.082762530298219,True,True,False
0.923588,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,27.313000567495326,0.41450687458478597,0.0,1,100.0,0,3.605551275463989,True,True,False
0.144299,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Half Volley,0,0,24.413111231467404,0.960070362405688,3.149348,1,56.0,0,11.180339887498949,True,True,False
1.260249,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,28.792360097775937,0.3547056520109403,0.0,0,108.0,1,5.830951894845301,True,True,False
1.395,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,28.231188426986208,0.4002406570339741,6.715892,0,104.0,1,8.06225774829855,True,True,False
0.7112,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,33.54101966249684,0.4636476090008061,6.762949000000001,0,120.0,1,8.06225774829855,True,True,False
0.33299999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,0,10.44030650891055,1.2793395323170296,9.473,0,12.0,0,3.605551275463989,True,True,False
2.239,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,18.35755975068582,0.5123894603107377,0.0,0,64.0,0,9.433981132056603,True,True,False
2.0780000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Half Volley,0,0,27.0,0.0,0.0,0,108.0,0,13.341664064126334,True,True,False
0.4469,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,25.709920264364882,0.23554498072086333,3.253,1,100.0,1,10.295630140987,True,True,False
0.1646,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Volley,0,0,12.529964086141668,1.0714496051147666,10.903210999999999,1,24.0,0,8.602325267042627,True,True,False
0.7303,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,17.08800749063506,0.3587706702705722,4.202948000000001,0,64.0,0,2.23606797749979,True,True,False
0.526,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,24.331050121192877,0.16514867741462683,13.827,1,96.0,1,4.123105625617661,True,True,False
0.21100000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,25.45584412271571,0.7853981633974483,14.142,1,72.0,0,7.810249675906654,True,True,False
1.733,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,25.238858928247925,0.5880026035475675,10.36,1,84.0,1,9.0,True,True,False
0.365536,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,22.135943621178654,0.3217505543966422,21.214699999999997,0,84.0,1,3.1622776601683795,True,True,False
0.24904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,23.259406699226016,0.4444192099010989,0.21360000000000004,1,84.0,1,4.242640687119285,True,True,False
0.417437,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,15.033296378372908,0.06656816377582381,19.391092000000004,0,60.0,0,6.708203932499369,True,True,False
0.8267770000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,16.401219466856727,0.9151007005533605,18.981752000000004,0,40.0,0,7.810249675906654,True,True,False
0.1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,31.25699921617557,0.1283232276857948,0.0,0,124.0,1,11.40175425099138,True,True,False
0.48363199999999995,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,0,29.732137494637012,0.7378150601204649,15.892254000000001,0,88.0,2,11.0,True,True,False
1.473663,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,24.698178070456937,0.5543074962015513,3.8205999999999998,0,84.0,1,3.0,True,True,False
