id,duration,distance,build_up_duration,shot_technique_normal,shot_technique_lob,shot_technique_half_volley,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name
c79dbabd-07b5-4951-a0b2-09f6203aa52c,2.6260000000000003,48.33218389437829,21.189999999999998,1,0,0,0,1,0,0,0,0,0,0,Kristen Hamilton,North Carolina Courage,7484,76.0,20.0,Jaelene Hinkle
6460f110-bd80-458b-983d-f6b8433508ec,1.3419999999999999,4.242640687119285,3.401,1,0,0,0,2,0,0,0,0,1,1,Sydney Leroux,Orlando Pride,7524,117.0,43.0,Poliana Barbosa Medeiros
e5121f8d-ea9f-4db3-86fa-dbc34805cf91,1.569,26.019223662515376,7.553,1,0,0,0,0,0,0,0,0,0,0,Rumi Utsugi,Seattle Reign,7478,94.0,41.0,Jodie Taylor
3d52efe1-f3df-4395-bf5a-6287cbde3f84,1.2930000000000001,21.02379604162864,6.478999999999999,1,0,0,0,2,0,0,0,0,0,0,Madison Tiernan,Sky Blue FC,7521,101.0,49.0,Katlyn Johnson
849c170d-d62b-4b44-a133-6d08ccf2d879,1.409252,27.202941017470888,9.013485999999999,1,0,0,0,0,0,0,0,0,0,0,Chloe Kelly,Everton LFC,19750,98.0,24.0,Hannah Cain
253e780d-b5a8-4427-b0f8-1dfd9b724ef9,0.031347,19.235384061671343,4.311795,1,0,0,0,1,0,0,0,0,1,0,Julia Simic,West Ham United LFC,19735,103.0,49.0,Jane Ross
510350cd-400a-478a-9065-abae7899f83e,1.352082,18.027756377319946,1.208,1,0,0,0,0,0,0,0,0,0,0,Lucy Graham,Bristol City WFC,19761,102.0,39.0,Carla Humphrey
016eca51-c969-4655-a085-551c8e0e06de,1.060915,14.422205101855956,5.152432000000001,0,0,0,0,2,0,0,0,0,1,0,Francesca Kirby,Chelsea LFC,19799,108.0,48.0,Ramona Bachmann
b3768c40-4aae-4a00-9d38-8901277e95bb,1.128472,15.652475842498529,6.772546,1,0,0,0,2,0,0,0,0,0,0,Ellen White,Birmingham City WFC,19796,106.0,47.0,Sarah Emma Mayling
f1d6318c-0ff1-4393-8b5e-1b0cd33b61f8,0.8472540000000001,8.06225774829855,2.962247,0,0,0,0,1,0,1,0,0,0,1,Ellie Mason,Yeovil Town LFC,19802,112.0,41.0,Hannah Short
