play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
From Throw In,0,foot,Volley,0,0,0,0,0,0,1,30.08321791298265,21.44773632710535,1.690318,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,10.295630140987,29.054604099077142,0.4089,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,6.0,0.0,0.850037,1
From Kick Off,0,foot,Volley,0,0,0,0,0,0,1,19.723082923316017,30.465544919459877,1.1221370000000002,1
Regular Play,1,foot,Normal,0,0,0,0,0,0,0,28.63564212655271,24.775140568831922,2.612251,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,20.591260281974,29.054604099077142,0.0754,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,18.384776310850235,67.61986494804043,0.7559999999999999,0
Regular Play,1,foot,Normal,0,0,0,1,0,0,1,19.798989873223327,45.0,1.31959,0
Regular Play,1,foot,Normal,0,0,0,0,0,0,1,16.401219466856727,52.431407971172504,0.910226,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,6.324555320336759,18.434948822922014,0.415967,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,33.61547262794322,22.75097634278764,1.1438700000000002,0
From Corner,0,head,Normal,0,0,0,0,0,0,0,12.369316876852979,14.03624346792648,0.259599,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,25.94224354214569,27.5528115767178,0.533346,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,38.078865529319536,13.671307132195833,1.271433,0
Regular Play,1,foot,Normal,0,0,0,0,0,0,1,33.13608305156178,5.194428907734807,1.670691,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,20.09975124224178,5.710593137499642,0.987222,0
From Throw In,0,foot,Normal,0,0,0,1,0,0,1,10.0,36.86989764584403,0.298143,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,31.40063693621516,9.162347045721711,1.305283,0
Regular Play,0,foot,Volley,0,1,0,0,0,0,1,19.924858845171283,17.52556837372287,1.468481,0
Regular Play,0,foot,Volley,0,0,0,0,0,0,1,14.212670403551895,39.28940686250036,1.359776,1
Regular Play,0,foot,Half Volley,0,0,0,0,0,0,1,10.295630140987,29.054604099077142,0.98983,1
From Keeper,1,foot,Normal,0,0,0,0,0,0,1,46.61544808322665,35.394795844987065,2.758829,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,15.811388300841895,34.69515353123397,0.761562,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,14.31782106327635,12.0947570770121,1.17162,0
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,25.019992006393608,2.2906100426385296,1.521508,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,8.48528137423857,45.0,0.237252,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,7.810249675906653,50.19442890773481,0.1897,0
From Corner,0,foot,Volley,0,0,0,0,0,0,0,15.620499351813306,39.805571092265204,0.533062,0
From Corner,0,foot,Volley,0,0,0,0,0,0,0,26.1725046566048,6.581944655178013,0.416871,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,16.76305461424021,17.35402463626132,1.048852,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,14.866068747318506,19.653824058053306,1.038941,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,34.058772731852805,3.3664606634298013,1.667098,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,13.601470508735444,36.02737338510361,0.52604,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,32.0,0.0,1.567878,0
